COD_CURSO,CURSO,NUM_VERSAO,DESCR_ESTRUTURA,PERIODO_IDEAL,COD_DISCIPLINA,NOME_DISCIPLNA,CREDITOS,CH_TEORICA,CH_PRATICA,CH_TOTAL
IH41,Música - Violão,2021/1,OBRIGATÓRIAS,8,IHI368,RECITAL DE FORMATURA,2,15,30,45
IH41,Música - Violão,2021/1,OBRIGATÓRIAS,,ENADE01,ENADE - INGRESSANTE,,,,
IH41,Música - Violão,2021/1,OBRIGATÓRIAS,,ENADE02,ENADE - CONCLUINTE,,,,
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI003,TECNOLOGIA EDUCACIONAL APLICADA À MÚSICA I,3,30,30,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI006,HISTÓRIA DA ARTE I,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI016,HISTORIA DA ARTE II,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI049,TECNOLOGIA EDUCACIONAL,3,30,30,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI148,PROSÓDIA MUSICAL,1,,30,30
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI155,HISTÓRIA DA ARTE III,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI227,FLAUTA DOCE I,1,,30,30
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI250,FUNDAMENTOS DO ENSINO DA ARTE,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI265,HISTÓRIA DA ARTE NO AMAZONAS,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI279,SEMIÓTICA DA MÚSICA  A,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI294,FUNDAMENTOS DA EDUCAÇÃO MUSICAL,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI295,DIDÁTICA DO ENSINO DA MÚSICA I,3,30,30,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI296,DIDÁTICA DO ENSINO DA MÚSICA II,3,30,30,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI323,EDUCAÇÃO ESPECIAL: METODOLOGIA APLICADA AO ENSINO DA MÚSICA,3,30,30,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI436,MÚSICA E TECNOLOGIA - EDITORAÇÃO DE PARTITURAS,3,30,30,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHI437,HISTÓRIA DA MÚSICA NO AMAZONAS,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHP041,COMUNICACÃO EM PROSA MODERNA I,4,60,,60
IH41,Música - Violão,2021/1,OPTATIVAS,,IHP123,LINGUA BRASILEIRA DE SINAIS B,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,1,IHI045,PERCEPÇÃO MUSICAL I,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,1,IHI134,HISTÓRIA DA MÚSICA I,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,1,IHI228,CANTO CORAL I,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,1,IHI344,HISTÓRIA DAS ARTES,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,1,IHI381,VIOLINO I,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,2,IHI087,CANTO CORAL II,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,2,IHI127,PERCEPÇÃO MUSICAL II,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,2,IHI139,HISTÓRIA DA MÚSICA II,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,2,IHI147,ORGANOLOGIA,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,2,IHI245,ESTÉTICA E TEORIA DA ARTE,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,2,IHI346,IMPROVISAÇÃO I,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,2,IHI382,VIOLINO II,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,3,IHI089,CANTO CORAL III,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,3,IHI131,PERCEPÇÃO MUSICAL III,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,3,IHI169,HISTÓRIA DA MÚSICA III,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,3,IHI348,IMPROVISAÇÃO II,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,3,IHI349,PERFORMANCE I,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,3,IHI350,MÚSICA DE CÂMARA I,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,3,IHI383,VIOLINO III,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,4,IHI171,HISTÓRIA DA MÚSICA POPULAR BRASILEIRA,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,4,IHI284,CONTRAPONTO I,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,4,IHI353,PERFORMANCE II,1,30,,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,4,IHI354,MÚSICA DE CÂMARA II,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,4,IHI384,VIOLINO IV,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,5,IHI288,HARMONIA,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,5,IHI292,METODOLOGIA PARA A PESQUISA EM ARTE,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,5,IHI357,PERFORMANCE III,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,5,IHI358,MÚSICA DE CÂMARA III,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,5,IHI385,VIOLINO V,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,5,IHI386,PRÁTICA ORQUESTRAL I,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,5,IHI387,PARTITURAS ORQUESTRAIS,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,6,IHI136,ANÁLISE E ESTRUTURAÇÃO MUSICAL I,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,6,IHI298,PESQUISA EM MÚSICA,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,6,IHI359,HARMONIA II,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,6,IHI362,PERFORMANCE IV,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,6,IHI388,PRÁTICA ORQUESTRAL II,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,6,IHI389,VIOLINO VI,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,7,IHI223,TECNOLOGIA E PRODUÇÃO SONORA I,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,7,IHI249,CULTURA BRASILEIRA,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,7,IHI366,PRÁTICA EM MÚSICA POPULAR,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,7,IHI390,VIOLINO VII,1,,30,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,7,IHI391,METODOLOGIA DO ENSINO E LITERATURA DO VIOLINO,2,30,,30
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,7,IHI392,PRÁTICA ORQUESTRAL III-A,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,8,IHI351,MÚSICA E SAÚDE,4,60,,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,8,IHI368,RECITAL DE FORMATURA,2,15,30,45
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,8,IHI393,PRÁTICA ORQUESTRAL IV-A,3,30,30,60
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,,ENADE01,ENADE - INGRESSANTE,,,,
IH42,Música - Violino,2021/1,OBRIGATÓRIAS,,ENADE02,ENADE - CONCLUINTE,,,,
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI003,TECNOLOGIA EDUCACIONAL APLICADA À MÚSICA I,3,30,30,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI006,HISTÓRIA DA ARTE I,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI016,HISTORIA DA ARTE II,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI049,TECNOLOGIA EDUCACIONAL,3,30,30,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI148,PROSÓDIA MUSICAL,1,,30,30
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI155,HISTÓRIA DA ARTE III,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI227,FLAUTA DOCE I,1,,30,30
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI250,FUNDAMENTOS DO ENSINO DA ARTE,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI265,HISTÓRIA DA ARTE NO AMAZONAS,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI279,SEMIÓTICA DA MÚSICA  A,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI294,FUNDAMENTOS DA EDUCAÇÃO MUSICAL,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI295,DIDÁTICA DO ENSINO DA MÚSICA I,3,30,30,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI296,DIDÁTICA DO ENSINO DA MÚSICA II,3,30,30,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI323,EDUCAÇÃO ESPECIAL: METODOLOGIA APLICADA AO ENSINO DA MÚSICA,3,30,30,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI436,MÚSICA E TECNOLOGIA - EDITORAÇÃO DE PARTITURAS,3,30,30,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHI437,HISTÓRIA DA MÚSICA NO AMAZONAS,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHP041,COMUNICACÃO EM PROSA MODERNA I,4,60,,60
IH42,Música - Violino,2021/1,OPTATIVAS,,IHP123,LINGUA BRASILEIRA DE SINAIS B,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,1,IHI045,PERCEPÇÃO MUSICAL I,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,1,IHI134,HISTÓRIA DA MÚSICA I,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,1,IHI228,CANTO CORAL I,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,1,IHI344,HISTÓRIA DAS ARTES,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,1,IHI394,FLAUTA TRANSVERSAL I,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,2,IHI087,CANTO CORAL II,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,2,IHI127,PERCEPÇÃO MUSICAL II,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,2,IHI139,HISTÓRIA DA MÚSICA II,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,2,IHI147,ORGANOLOGIA,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,2,IHI245,ESTÉTICA E TEORIA DA ARTE,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,2,IHI346,IMPROVISAÇÃO I,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,2,IHI395,FLAUTA TRANSVERSAL II,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,3,IHI089,CANTO CORAL III,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,3,IHI131,PERCEPÇÃO MUSICAL III,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,3,IHI169,HISTÓRIA DA MÚSICA III,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,3,IHI348,IMPROVISAÇÃO II,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,3,IHI349,PERFORMANCE I,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,3,IHI350,MÚSICA DE CÂMARA I,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,3,IHI396,FLAUTA TRANSVERSAL III,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,4,IHI171,HISTÓRIA DA MÚSICA POPULAR BRASILEIRA,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,4,IHI284,CONTRAPONTO I,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,4,IHI353,PERFORMANCE II,1,30,,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,4,IHI354,MÚSICA DE CÂMARA II,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,4,IHI397,FLAUTA TRANSVERSAL IV,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,5,IHI288,HARMONIA,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,5,IHI292,METODOLOGIA PARA A PESQUISA EM ARTE,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,5,IHI357,PERFORMANCE III,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,5,IHI358,MÚSICA DE CÂMARA III,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,5,IHI386,PRÁTICA ORQUESTRAL I,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,5,IHI387,PARTITURAS ORQUESTRAIS,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,5,IHI398,FLAUTA TRANSVERSAL V,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,6,IHI136,ANÁLISE E ESTRUTURAÇÃO MUSICAL I,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,6,IHI298,PESQUISA EM MÚSICA,4,60,,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,6,IHI359,HARMONIA II,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,6,IHI362,PERFORMANCE IV,1,,30,30
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,6,IHI388,PRÁTICA ORQUESTRAL II,3,30,30,60
IH43,Música - Flauta Transversal,2021/1,OBRIGATÓRIAS,6,IHI399,FLAUTA TRANSVERSAL VI,1,,30,30
